Date,Open,High,Low,Close,Volume,Change
2020-12-08,10000,10060,9985,10000,318914,
2020-12-09,10155,10155,9915,9950,363404,-0.0050000000000000044
2020-12-10,9955,9955,9775,9810,279021,-0.014070351758794009
2020-12-11,9875,10000,9875,9920,210921,0.011213047910295648
2020-12-14,9920,10025,9835,9880,166739,-0.0040322580645161255
2020-12-15,9890,10305,9890,10205,156558,0.03289473684210531
2020-12-16,10295,10400,10230,10345,313917,0.013718765311121928
2020-12-17,10485,10810,10360,10810,200953,0.04494925084581913
2020-12-18,10900,11500,10800,10905,354716,0.008788159111933425
2020-12-21,11015,11145,10855,11130,304217,0.02063273727647874
2020-12-22,11100,11375,11030,11030,398181,-0.008984725965858087
2020-12-23,11055,11185,10930,11065,229878,0.0031731640979146825
2020-12-24,11185,11235,11030,11065,176147,0.0
2020-12-28,11170,11255,11140,11165,151421,0.00903750564844108
2020-12-29,11330,11330,10940,11030,145468,-0.012091356918943141
2020-12-30,11045,11230,11000,11225,93116,0.017679057116953834
2021-01-04,11260,11525,11260,11335,316193,0.009799554565701474
2021-01-05,11360,11405,11250,11355,241752,0.0017644464049404451
2021-01-06,11445,11795,11380,11520,306471,0.014531043593130732
2021-01-07,11605,11640,11430,11430,280781,-0.0078125
2021-01-08,11565,11930,10850,11640,261873,0.018372703412073532
2021-01-11,11780,11785,11460,11620,113212,-0.0017182130584192379
2021-01-12,11630,11795,11500,11790,122076,0.014629948364888179
2021-01-13,11920,12165,11730,11795,186303,0.00042408821034767286
2021-01-14,11705,12160,11705,11905,117614,0.009325985587113284
2021-01-15,12095,12095,11800,11870,101043,-0.0029399412011760218
2021-01-18,11715,12290,11715,12225,171009,0.029907329401853477
2021-01-19,12475,12475,12100,12225,232951,0.0
2021-01-20,12450,13000,12260,12805,164308,0.047443762781186116
2021-01-21,13000,13050,12860,13000,275118,0.015228426395939021
2021-01-22,13075,13390,13010,13355,318374,0.027307692307692255
2021-01-25,13450,14000,13450,13650,646518,0.022089105204043502
2021-01-26,13800,13850,13210,13270,463686,-0.02783882783882785
2021-01-27,13515,13515,12840,12945,306425,-0.024491333835719664
2021-01-28,12520,12875,12450,12515,267835,-0.03321745847817692
2021-01-29,12650,12650,12300,12355,173890,-0.012784658409908056
2021-02-01,12235,12675,12160,12650,174838,0.023876972885471526
2021-02-02,12740,13110,12740,13095,196644,0.03517786561264824
2021-02-03,13295,13310,12960,13280,271099,0.014127529591447141
2021-02-04,13300,13325,13000,13230,127317,-0.0037650602409639022
2021-02-05,13280,13570,13260,13475,152809,0.0185185185185186
2021-02-08,13475,13595,13250,13510,160699,0.0025974025974024872
2021-02-09,13515,13650,13480,13650,129799,0.010362694300518172
2021-02-10,13800,14085,13640,14085,220977,0.03186813186813198
2021-02-15,14200,14465,14155,14185,303051,0.0070997515086972385
2021-02-16,14195,14385,14190,14200,225257,0.0010574550581601283
2021-02-17,14320,14320,14160,14300,121490,0.007042253521126751
2021-02-18,14305,14395,13550,13625,415886,-0.047202797202797186
2021-02-19,13500,13610,13000,13345,175606,-0.020550458715596354
2021-02-22,13345,13400,12670,12695,244121,-0.04870738104158856
2021-02-23,12695,12895,12405,12825,154145,0.01024025206774315
2021-02-24,13000,13025,12150,12350,211457,-0.03703703703703709
2021-02-25,12485,12590,12130,12370,159181,0.0016194331983805377
2021-02-26,11950,12290,11875,12200,130155,-0.013742926434923253
2021-03-02,12545,12545,12090,12270,106444,0.0057377049180327155
2021-03-03,12225,12225,12000,12115,55379,-0.012632436837815786
2021-03-04,12095,12095,11550,11700,95681,-0.03425505571605447
2021-03-05,11465,11600,11225,11535,81009,-0.014102564102564052
2021-03-08,11715,11715,10550,11000,114305,-0.046380580840918895
2021-03-09,10760,11120,10585,10980,122070,-0.0018181818181818299
2021-03-10,11420,11460,11000,11090,59761,0.010018214936247771
2021-03-11,11285,11405,10665,11255,73222,0.01487826871054998
2021-03-12,11275,11700,11265,11475,121028,0.019546868058640587
2021-03-15,11470,11470,11005,11010,97425,-0.04052287581699343
2021-03-16,11015,11295,11015,11225,77404,0.01952770208900989
2021-03-17,11105,11265,11080,11230,49012,0.00044543429844101645
2021-03-18,11235,11435,11235,11405,75821,0.01558325912733749
2021-03-19,11350,11350,11080,11110,50257,-0.02586584831214378
2021-03-22,11180,11370,11125,11320,37649,0.018901890189019
2021-03-23,11440,11440,11050,11050,47167,-0.023851590106007015
2021-03-24,11050,11245,10965,11045,70881,-0.0004524886877828038
2021-03-25,11025,11025,10730,10980,49599,-0.005885015844273478
2021-03-26,11195,11400,10600,11400,54635,0.03825136612021862
2021-03-29,11475,11475,11055,11260,46011,-0.012280701754386003
2021-03-30,11390,11540,11305,11510,35667,0.022202486678507993
2021-03-31,11580,11650,11315,11475,39756,-0.003040834057341457
2021-04-01,11575,11700,11385,11695,39917,0.01917211328976043
2021-04-02,11850,11905,11750,11865,41366,0.014536126549807626
2021-04-05,11950,12000,11600,11820,45897,-0.0037926675094817064
2021-04-06,11965,11965,11570,11715,61146,-0.008883248730964466
2021-04-07,11715,11715,11375,11490,68681,-0.01920614596670933
2021-04-08,11600,11700,11400,11600,45872,0.009573542210618013
2021-04-09,11625,11675,11325,11375,67047,-0.0193965517241379
2021-04-12,11345,11475,11290,11320,65327,-0.004835164835164885
2021-04-13,11410,11455,11245,11360,53409,0.0035335689045936647
2021-04-14,11360,11505,11350,11380,44183,0.0017605633802817433
2021-04-15,11300,11460,11300,11330,32345,-0.004393673110720586
2021-04-16,11420,11465,11310,11400,41273,0.0061782877316858276
2021-04-19,11450,11750,11390,11655,69648,0.022368421052631593
2021-04-20,11740,11740,11540,11675,41574,0.0017160017160016139
2021-04-21,11670,11720,11100,11550,43280,-0.010706638115631661
2021-04-22,11715,11935,11710,11925,61416,0.032467532467532534
2021-04-23,11925,12240,11850,12185,73711,0.02180293501048225
2021-04-26,12185,12540,12185,12360,154797,0.014361920393926919
2021-04-27,12360,12370,12165,12300,50550,-0.004854368932038833
2021-04-28,12205,12500,12205,12490,62021,0.015447154471544655
2021-04-29,12455,12640,12455,12510,84593,0.0016012810248198228
2021-04-30,12495,12700,12395,12655,99879,0.01159072741806555
2021-05-03,12675,12720,12580,12620,94563,-0.0027657052548399896
2021-05-04,12540,12690,12540,12595,62828,-0.001980982567353462
2021-05-06,12550,12555,11970,12240,71462,-0.028185788011115487
2021-05-07,12240,12315,11900,11985,77453,-0.02083333333333337
