Date,Open,High,Low,Close,Volume,Change
2021-01-25,106500,106500,82000,87700,661571,
2021-01-26,88300,89200,81000,81000,209696,-0.07639680729760545
2021-01-27,82300,83600,76800,77700,94791,-0.040740740740740744
2021-01-28,74600,80200,73600,75900,89069,-0.02316602316602312
2021-01-29,76400,79000,70000,72300,79881,-0.04743083003952564
2021-02-01,71500,76100,71400,75900,54590,0.049792531120331995
2021-02-02,76300,79000,76200,76900,61409,0.013175230566534912
2021-02-03,77900,79000,76500,78100,58671,0.015604681404421283
2021-02-04,79400,80200,77000,77800,56016,-0.003841229193341844
2021-02-05,76700,77700,75600,76600,18355,-0.015424164524421635
2021-02-08,77400,77500,76000,77200,14484,0.007832898172323688
2021-02-09,77200,77800,75600,75600,12752,-0.020725388601036232
2021-02-10,76000,76000,71500,74700,21465,-0.011904761904761862
2021-02-15,74700,74700,73400,73700,14212,-0.01338688085676043
2021-02-16,74400,74700,73400,73700,11745,0.0
2021-02-17,74300,74300,72800,73200,10086,-0.006784260515603768
2021-02-18,72500,74000,72400,72900,18269,-0.004098360655737654
2021-02-19,72900,73100,71800,73100,12073,0.00274348422496562
2021-02-22,73900,74200,72000,72700,10657,-0.005471956224350261
2021-02-23,72000,72600,71800,71900,9281,-0.011004126547455306
2021-02-24,72600,72600,69500,69800,22101,-0.029207232267037586
2021-02-25,71600,76300,70000,75100,42865,0.0759312320916905
2021-02-26,71300,72100,69300,70800,59815,-0.05725699067909451
2021-03-02,72900,73000,68700,69300,51142,-0.021186440677966156
2021-03-03,69700,71000,68200,69300,28291,0.0
2021-03-04,69100,70900,68600,68800,26077,-0.00721500721500723
2021-03-05,68300,69000,67600,68200,14223,-0.008720930232558155
2021-03-08,69000,69500,67800,68300,14574,0.0014662756598240456
2021-03-09,68700,69800,67800,69400,12272,0.016105417276720324
2021-03-10,70500,70500,68500,69300,8332,-0.0014409221902017544
2021-03-11,69000,70000,69000,69700,9839,0.005772005772005873
2021-03-12,70200,70900,69600,70800,12836,0.015781922525107683
2021-03-15,71200,74200,71200,73800,36028,0.04237288135593231
2021-03-16,74100,75400,73600,73800,20998,0.0
2021-03-17,73800,74300,72500,73900,9742,0.0013550135501354532
2021-03-18,74000,74800,73100,73500,10393,-0.005412719891745632
2021-03-19,71900,76200,71700,73700,8905,0.0027210884353741083
2021-03-22,73800,74700,72700,73700,9151,0.0
2021-03-23,73300,74700,72800,73800,18556,0.0013568521031208647
2021-03-24,73500,74100,72600,73800,14823,0.0
2021-03-25,74700,74700,73300,73800,11203,0.0
2021-03-26,74600,74600,73600,74300,11419,0.006775067750677488
2021-03-29,74900,75800,73500,74100,15012,-0.0026917900403768957
2021-03-30,74100,74900,73400,73800,10983,-0.004048582995951455
2021-03-31,73700,74500,73200,73600,6097,-0.0027100271002710175
2021-04-01,73200,74000,72900,73400,8633,-0.0027173913043477826
2021-04-02,74200,74300,72500,72900,13103,-0.006811989100817484
2021-04-05,73300,73800,72800,73200,8377,0.004115226337448652
2021-04-06,74100,74100,73100,73400,9369,0.002732240437158362
2021-04-07,73600,73700,72900,73700,13796,0.004087193460490468
2021-04-08,73900,76800,73400,75400,39535,0.023066485753052923
2021-04-09,75400,76400,74800,75800,11134,0.0053050397877985045
2021-04-12,75800,76100,75100,75800,13231,0.0
2021-04-13,76500,77000,75300,76400,17033,0.0079155672823219
2021-04-14,76100,77700,76100,77400,17016,0.01308900523560208
2021-04-15,78100,78500,76800,78400,22622,0.012919896640826822
2021-04-16,78500,79000,77600,78900,20571,0.0063775510204082675
2021-04-19,79900,80000,78900,79900,31644,0.012674271229404344
2021-04-20,79900,82300,79800,82300,29249,0.030037546933667114
2021-04-21,82500,83000,80500,81700,25396,-0.007290400972053468
2021-04-22,81700,82300,81400,81600,20253,-0.001223990208078285
2021-04-23,81000,81500,79800,80000,21604,-0.019607843137254943
2021-04-26,80000,81300,79200,79900,17882,-0.0012499999999999734
2021-04-27,80000,81800,79500,81400,21776,0.018773466833541974
2021-04-28,81400,81600,78600,79000,32236,-0.029484029484029506
2021-04-29,80100,80300,77100,79200,24678,0.0025316455696202667
2021-04-30,79300,79400,77200,77600,16560,-0.02020202020202022
2021-05-03,77600,78600,77000,77200,9726,-0.005154639175257714
2021-05-04,77200,78000,75400,77500,11715,0.0038860103626943143
2021-05-06,77500,79100,77000,78900,15701,0.01806451612903226
2021-05-07,79900,81200,78900,79800,25652,0.011406844106463865
